match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
2473,1457225,2024-11-22,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,Saudi Arabia,Bhutan,Bhutan,field,170,85,Saudi Arabia,85.0,,,Waji Ul Hassan
2474,1457226,2024-11-23,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,Bahrain,Bhutan,Bhutan,field,175,85,Bahrain,90.0,,,Haider Butt
2475,1457227,2024-11-23,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,United Arab Emirates,Thailand,United Arab Emirates,bat,192,37,United Arab Emirates,155.0,,,R Chopra
2476,1457228,2024-11-23,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,Qatar,Cambodia,Qatar,bat,170,122,Qatar,48.0,,,I Liyanage
2477,1459374,2024-11-23,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Botswana,Eswatini,Botswana,bat,175,127,Botswana,48.0,,,V Balakrishnan
2478,1459375,2024-11-23,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Sierra Leone,Ivory Coast,Sierra Leone,bat,189,21,Sierra Leone,168.0,,,G Ngegba
2479,1459376,2024-11-23,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,University of Lagos Cricket Oval,Lagos,Nigeria,St Helena,Nigeria,bat,185,67,Nigeria,118.0,,,R Abdulkareem
2480,1459386,2024-11-24,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,University of Lagos Cricket Oval,Lagos,Sierra Leone,Botswana,Sierra Leone,bat,115,117,Botswana,,5.0,,T Perera
2481,1459387,2024-11-24,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Nigeria,Ivory Coast,Nigeria,bat,271,7,Nigeria,264.0,,,Selim Salau
2482,1459388,2024-11-24,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,University of Lagos Cricket Oval,Lagos,Eswatini,St Helena,Eswatini,bat,173,125,Eswatini,48.0,,,Adil Butt
2483,1457229,2024-11-25,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,Qatar,Bahrain,Bahrain,field,185,172,Qatar,13.0,,,
2484,1457230,2024-11-25,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,Cambodia,Saudi Arabia,Saudi Arabia,field,161,164,Saudi Arabia,,5.0,,Faisal Khan
2485,1457231,2024-11-25,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,Thailand,Bhutan,Thailand,bat,117,110,Thailand,7.0,,,N Salekar
2486,1457232,2024-11-26,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,Thailand,Saudi Arabia,Saudi Arabia,field,133,136,Saudi Arabia,,5.0,,Zain Ul Abidin
2487,1457233,2024-11-26,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,Bahrain,Cambodia,Cambodia,field,174,125,Bahrain,49.0,,,Rizwan Butt
2488,1457234,2024-11-26,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,United Arab Emirates,Qatar,United Arab Emirates,bat,206,177,United Arab Emirates,29.0,,,Waseem Muhammad
2489,1459380,2024-11-26,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,St Helena,Sierra Leone,Sierra Leone,field,135,141,Sierra Leone,,4.0,,A Turay
2490,1459381,2024-11-26,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Eswatini,Nigeria,Eswatini,bat,137,138,Nigeria,,5.0,,I Danladi
