match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
903,1243388,2021-03-12,India v England,Narendra Modi Stadium,Ahmedabad,India,England,England,field,124,130,England,,8.0,,JC Archer
904,1243389,2021-03-14,England tour of India,Narendra Modi Stadium,Ahmedabad,England,India,India,field,164,166,India,,7.0,,Ishan Kishan
905,1243390,2021-03-16,England tour of India,Narendra Modi Stadium,Ahmedabad,India,England,England,field,156,158,England,,8.0,,JC Buttler
906,1243391,2021-03-18,England tour of India,Narendra Modi Stadium,Ahmedabad,India,England,England,field,185,177,India,8.0,,,SA Yadav
907,1243392,2021-03-20,England tour of India,Narendra Modi Stadium,Ahmedabad,India,England,England,field,224,188,India,36.0,,,B Kumar
908,1233979,2021-03-28,Bangladesh tour of New Zealand,Seddon Park,Hamilton,New Zealand,Bangladesh,New Zealand,bat,210,144,New Zealand,66.0,,,DP Conway
909,1233980,2021-03-30,Bangladesh tour of New Zealand,McLean Park,Napier,New Zealand,Bangladesh,Bangladesh,field,173,142,New Zealand,28.0,,D/L,GD Phillips
910,1233981,2021-04-01,Bangladesh tour of New Zealand,Eden Park,Auckland,New Zealand,Bangladesh,Bangladesh,field,141,76,New Zealand,65.0,,,FH Allen
911,1257404,2021-04-03,Uganda tour of Namibia,Wanderers,Windhoek,Uganda,Namibia,Uganda,bat,134,135,Namibia,,7.0,,MG Erasmus
912,1257405,2021-04-05,Uganda tour of Namibia,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,Uganda,Namibia,bat,134,65,Namibia,20.0,,D/L,JJ Smit
913,1257406,2021-04-05,Uganda tour of Namibia,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,Uganda,Namibia,bat,189,124,Namibia,65.0,,,CG Williams
914,1251575,2021-04-10,Pakistan tour of South Africa,"The Wanderers Stadium, Johannesburg",Johannesburg,South Africa,Pakistan,South Africa,bat,188,189,Pakistan,,4.0,,Mohammad Rizwan
915,1251576,2021-04-12,Pakistan tour of South Africa,"The Wanderers Stadium, Johannesburg",Johannesburg,Pakistan,South Africa,Pakistan,bat,140,141,South Africa,,6.0,,GF Linde
916,1251577,2021-04-14,Pakistan tour of South Africa,"SuperSport Park, Centurion",Centurion,South Africa,Pakistan,Pakistan,field,203,205,Pakistan,,9.0,,Babar Azam
917,1251578,2021-04-16,Pakistan tour of South Africa,"SuperSport Park, Centurion",Centurion,South Africa,Pakistan,Pakistan,field,144,149,Pakistan,,3.0,,Faheem Ashraf
918,1257945,2021-04-17,Nepal Tri-Nation T20I Series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Netherlands,Nepal,Nepal,field,136,141,Nepal,,9.0,,K Bhurtel
919,1257946,2021-04-18,Nepal Tri-Nation T20I Series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Netherlands,Malaysia,Netherlands,bat,191,176,Netherlands,15.0,,,MP O'Dowd
920,1257947,2021-04-19,Nepal Tri-Nation T20I Series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,Nepal,Nepal,field,109,113,Nepal,,9.0,,Karan KC
921,1257948,2021-04-20,Nepal Tri-Nation T20I Series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Netherlands,Nepal,bat,206,209,Netherlands,,3.0,,BFW de Leede
922,1257183,2021-04-21,Pakistan tour of Zimbabwe,Harare Sports Club,Harare,Pakistan,Zimbabwe,Zimbabwe,field,149,138,Pakistan,11.0,,,Mohammad Rizwan
923,1257949,2021-04-21,Nepal Tri-Nation T20I Series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Netherlands,Malaysia,Malaysia,field,107,91,tie,,,D/L,TS Braat
924,1257950,2021-04-22,Nepal Tri-Nation T20I Series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Malaysia,Malaysia,field,217,148,Nepal,69.0,,,Sompal Kami
925,1257184,2021-04-23,Pakistan tour of Zimbabwe,Harare Sports Club,Harare,Zimbabwe,Pakistan,Pakistan,field,118,99,Zimbabwe,19.0,,,LM Jongwe
926,1257951,2021-04-24,Nepal Tri-Nation T20I Series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Netherlands,Netherlands,field,238,96,Nepal,142.0,,,Karan KC
927,1257185,2021-04-25,Pakistan tour of Zimbabwe,Harare Sports Club,Harare,Pakistan,Zimbabwe,Pakistan,bat,165,141,Pakistan,24.0,,,Hasan Ali
928,1263708,2021-05-21,Central Europe Cup,"Scott Page Field, Vinor",Prague,Luxembourg,Czech Republic,Czech Republic,field,126,127,Czech Republic,,9.0,,
929,1263710,2021-05-22,Central Europe Cup,"Scott Page Field, Vinor",Prague,Austria,Czech Republic,Czech Republic,field,162,84,Austria,78.0,,,
930,1263711,2021-05-22,Central Europe Cup,"Scott Page Field, Vinor",Prague,Czech Republic,Luxembourg,Luxembourg,field,161,165,Luxembourg,,6.0,,
931,1263712,2021-05-23,Central Europe Cup,"Scott Page Field, Vinor",Prague,Austria,Luxembourg,Austria,bat,179,180,Luxembourg,,5.0,,
932,1263713,2021-05-23,Central Europe Cup,"Scott Page Field, Vinor",Prague,Czech Republic,Austria,Czech Republic,bat,156,161,Austria,,4.0,D/L,
933,1249206,2021-06-23,Sri Lanka tour of England,"Sophia Gardens, Cardiff",Cardiff,Sri Lanka,England,Sri Lanka,bat,129,130,England,,8.0,,JC Buttler
934,1249207,2021-06-24,Sri Lanka tour of England,"Sophia Gardens, Cardiff",Cardiff,Sri Lanka,England,Sri Lanka,bat,111,108,England,,5.0,D/L,LS Livingstone
935,1267304,2021-06-24,Sofia Twenty20,"National Sports Academy, Sofia",Sofia,Greece,Romania,Greece,bat,157,159,Romania,,3.0,,R Satheesan
936,1267306,2021-06-25,Sofia Twenty20,"National Sports Academy, Sofia",Sofia,Serbia,Greece,Greece,field,144,147,Greece,,5.0,,Aslam Mohammad
937,1267307,2021-06-25,Sofia Twenty20,"National Sports Academy, Sofia",Sofia,Bulgaria,Romania,Bulgaria,bat,157,161,Romania,,7.0,,Taranjeet Singh
938,1267308,2021-06-25,Sofia Twenty20,"National Sports Academy, Sofia",Sofia,Romania,Serbia,Romania,bat,191,100,Romania,91.0,,,S Thakur
939,1249208,2021-06-26,Sri Lanka tour of England,"The Rose Bowl, Southampton",Southampton,England,Sri Lanka,Sri Lanka,field,180,91,England,89.0,,,DJ Malan
940,1263151,2021-06-26,South Africa tour of West Indies,"National Cricket Stadium, St George's, Grenada",St George's,South Africa,West Indies,West Indies,field,160,161,West Indies,,8.0,,E Lewis
941,1267310,2021-06-26,Sofia Twenty20,"National Sports Academy, Sofia",Sofia,Serbia,Romania,Serbia,bat,115,116,Romania,,10.0,,Taranjeet Singh
942,1267311,2021-06-26,Sofia Twenty20,"National Sports Academy, Sofia",Sofia,Bulgaria,Greece,Greece,field,140,33,no result,,,,
943,1263152,2021-06-27,South Africa tour of West Indies,"National Cricket Stadium, St George's, Grenada",St George's,South Africa,West Indies,West Indies,field,166,150,South Africa,16.0,,,GF Linde
944,1263153,2021-06-29,South Africa tour of West Indies,"National Cricket Stadium, St George's, Grenada",St George's,South Africa,West Indies,West Indies,field,167,166,South Africa,1.0,,,T Shamsi
945,1263154,2021-07-01,South Africa tour of West Indies,"National Cricket Stadium, St George's, Grenada",St George's,West Indies,South Africa,South Africa,field,167,146,West Indies,21.0,,,KA Pollard
946,1263155,2021-07-03,South Africa tour of West Indies,"National Cricket Stadium, St George's, Grenada",St George's,South Africa,West Indies,South Africa,bat,168,143,South Africa,25.0,,,AK Markram
947,1268188,2021-07-08,Belgium tour of Malta,Marsa Sports Club,Marsa,Belgium,Malta,Belgium,bat,99,103,Malta,,6.0,,N Khanna
948,1268189,2021-07-08,Belgium tour of Malta,Marsa Sports Club,Marsa,Malta,Belgium,Malta,bat,50,52,Belgium,,10.0,,B Niaz
949,1263156,2021-07-09,Australia tour of West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,Australia,Australia,field,145,127,West Indies,18.0,,,OC McCoy
950,1268190,2021-07-09,Belgium tour of Malta,Marsa Sports Club,Marsa,Malta,Belgium,Belgium,field,114,115,Belgium,,4.0,,Sheraz Sheikh
951,1263157,2021-07-10,Australia tour of West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,Australia,Australia,field,196,140,West Indies,56.0,,,SO Hetmyer
952,1268191,2021-07-10,Belgium tour of Malta,Marsa Sports Club,Marsa,Belgium,Malta,Belgium,bat,128,125,Malta,2.0,,,Bilal Muhammad
953,1268192,2021-07-10,Belgium tour of Malta,Marsa Sports Club,Marsa,Belgium,Malta,Belgium,bat,172,133,Belgium,39.0,,,
954,1263158,2021-07-12,Australia tour of West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Australia,West Indies,Australia,bat,141,142,West Indies,,6.0,,CH Gayle
955,1263159,2021-07-14,Australia tour of West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Australia,West Indies,Australia,bat,189,185,Australia,4.0,,,MR Marsh
956,1239540,2021-07-16,Pakistan tour of England,"Trent Bridge, Nottingham",Nottingham,Pakistan,England,England,field,232,201,Pakistan,31.0,,,Shaheen Shah Afridi
957,1263160,2021-07-16,Australia tour of West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,Australia,West Indies,bat,199,183,West Indies,16.0,,,E Lewis
958,1239541,2021-07-18,Pakistan tour of England,"Headingley, Leeds",Leeds,England,Pakistan,Pakistan,field,200,155,England,45.0,,,MM Ali
959,1251953,2021-07-19,South Africa tour of Ireland,"The Village, Malahide, Dublin",Dublin,South Africa,Ireland,Ireland,field,165,132,South Africa,33.0,,,T Shamsi
960,1239542,2021-07-20,Pakistan tour of England,"Old Trafford, Manchester",Manchester,Pakistan,England,Pakistan,bat,154,155,England,,3.0,,JJ Roy
961,1251954,2021-07-22,South Africa tour of Ireland,"Civil Service Cricket Club, Stormont, Belfast",Belfast,South Africa,Ireland,South Africa,bat,159,117,South Africa,42.0,,,DA Miller
962,1267680,2021-07-22,Bangladesh tour of Zimbabwe,Harare Sports Club,Harare,Zimbabwe,Bangladesh,Zimbabwe,bat,152,153,Bangladesh,,8.0,,Soumya Sarkar
963,1267681,2021-07-23,Bangladesh tour of Zimbabwe,Harare Sports Club,Harare,Zimbabwe,Bangladesh,Zimbabwe,bat,166,143,Zimbabwe,23.0,,,W Madhevere
964,1251955,2021-07-24,South Africa tour of Ireland,"Civil Service Cricket Club, Stormont, Belfast",Belfast,South Africa,Ireland,South Africa,bat,189,140,South Africa,49.0,,,T Bavuma
965,1262758,2021-07-25,India tour of Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,India,Sri Lanka,Sri Lanka,field,164,126,India,38.0,,,B Kumar
966,1267682,2021-07-25,Bangladesh tour of Zimbabwe,Harare Sports Club,Harare,Zimbabwe,Bangladesh,Zimbabwe,bat,193,194,Bangladesh,,5.0,,Soumya Sarkar
967,1262759,2021-07-28,India tour of Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,India,Sri Lanka,Sri Lanka,field,132,133,Sri Lanka,,4.0,,DM de Silva
968,1263164,2021-07-28,Pakistan tour of West Indies,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,Pakistan,Pakistan,field,85,0,no result,,,,
969,1262760,2021-07-29,India tour of Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,India,Sri Lanka,India,bat,81,82,Sri Lanka,,7.0,,PWH de Silva
970,1263165,2021-07-31,Pakistan tour of West Indies,"Providence Stadium, Guyana",Providence,Pakistan,West Indies,West Indies,field,157,150,Pakistan,7.0,,,Mohammad Hafeez
971,1263166,2021-08-01,Pakistan tour of West Indies,"Providence Stadium, Guyana",Providence,West Indies,Pakistan,West Indies,bat,15,0,no result,,,,
972,1263167,2021-08-03,Pakistan tour of West Indies,"Providence Stadium, Guyana",Providence,West Indies,Pakistan,Pakistan,field,30,0,no result,,,,
973,1270834,2021-08-03,Australia tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,Australia,Australia,field,131,108,Bangladesh,23.0,,,Nasum Ahmed
974,1270835,2021-08-04,Australia tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Australia,Bangladesh,Australia,bat,121,123,Bangladesh,,5.0,,Afif Hossain
975,1271445,2021-08-05,Germany T20 Tri-Series,Bayer Uerdingen Cricket Ground,Krefeld,Norway,Germany,Germany,field,76,80,Germany,,5.0,,Ghulam Ahmadi
976,1271446,2021-08-05,Germany T20 Tri-Series,Bayer Uerdingen Cricket Ground,Krefeld,Norway,France,France,field,112,113,France,,4.0,,S Santhirakumaran
977,1270836,2021-08-06,Australia tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,Australia,Bangladesh,bat,127,117,Bangladesh,10.0,,,Mahmudullah
978,1271447,2021-08-06,Germany T20 Tri-Series,Bayer Uerdingen Cricket Ground,Krefeld,France,Germany,Germany,field,94,97,Germany,,2.0,D/L,H Singh
979,1270837,2021-08-07,Australia tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,Australia,Bangladesh,bat,104,105,Australia,,3.0,,MJ Swepson
980,1271448,2021-08-07,Germany T20 Tri-Series,Bayer Uerdingen Cricket Ground,Krefeld,Germany,France,France,field,164,116,Germany,48.0,,,VB Chikkannaiah
981,1271449,2021-08-07,Germany T20 Tri-Series,Bayer Uerdingen Cricket Ground,Krefeld,Norway,France,France,field,131,128,Norway,3.0,,,Sher Sahak
982,1271450,2021-08-08,Germany T20 Tri-Series,Bayer Uerdingen Cricket Ground,Krefeld,Norway,Germany,Germany,field,185,134,Norway,51.0,,,Wahidullah Sahak
983,1271451,2021-08-08,Germany T20 Tri-Series,Bayer Uerdingen Cricket Ground,Krefeld,Norway,Germany,Norway,bat,127,96,Germany,,6.0,D/L,Sahir Naqash
984,1270838,2021-08-09,Australia tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,Australia,Bangladesh,bat,122,62,Bangladesh,60.0,,,Shakib Al Hasan
985,1273133,2021-08-14,Sweden tour of Denmark,"Svanholm Park, Brondby",Brondby,Denmark,Sweden,Sweden,field,135,137,Sweden,,3.0,,HAM Shah
986,1273134,2021-08-15,Sweden tour of Denmark,"Svanholm Park, Brondby",Brondby,Sweden,Denmark,Denmark,field,122,126,Denmark,,6.0,,T Bharaj
987,1273141,2021-08-18,Ghana tour of Rwanda,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,Rwanda,Ghana,bat,164,165,Rwanda,,1.0,,
988,1273136,2021-08-20,Portugal T20 Tri-Series,Gucherre Cricket Ground,Albergaria,Gibraltar,Malta,Malta,field,148,149,Malta,,8.0,,Washeem Abbas
989,1273143,2021-08-20,Ghana tour of Rwanda,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,Ghana,Ghana,field,136,79,Rwanda,57.0,,,Z Bimenyimana
990,1273144,2021-08-20,Ghana tour of Rwanda,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,Rwanda,Ghana,bat,166,30,Ghana,,,Awarded,R Bakum
991,1273138,2021-08-21,Portugal T20 Tri-Series,Gucherre Cricket Ground,Albergaria,Malta,Gibraltar,Gibraltar,field,197,193,Malta,4.0,,,VP Thamotharam
992,1273145,2021-08-21,Ghana tour of Rwanda,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,Ghana,Rwanda,bat,147,148,Ghana,,7.0,,Amoluk Singh
993,1273146,2021-08-21,Sweden tour of Finland,Kerava National Cricket Ground,Kerava,Sweden,Finland,Sweden,bat,135,139,Finland,,4.0,,
994,1273147,2021-08-21,Sweden tour of Finland,Kerava National Cricket Ground,Kerava,Sweden,Finland,Sweden,bat,141,142,Finland,,4.0,,
995,1273139,2021-08-22,Portugal T20 Tri-Series,Gucherre Cricket Ground,Albergaria,Portugal,Gibraltar,Gibraltar,field,218,108,Portugal,110.0,,,Azhar Andani
996,1273148,2021-08-22,Sweden tour of Finland,Kerava National Cricket Ground,Kerava,Finland,Sweden,Sweden,field,141,113,Sweden,,3.0,D/L,
997,1273149,2021-08-22,Sweden tour of Finland,Kerava National Cricket Ground,Kerava,Finland,Sweden,Sweden,field,145,146,Sweden,,6.0,,
998,1272373,2021-08-27,Zimbabwe tour of Ireland and Scotland,"Castle Avenue, Dublin",Dublin,Zimbabwe,Ireland,Ireland,field,117,114,Zimbabwe,3.0,,,RW Chakabva
999,1272374,2021-08-29,Zimbabwe tour of Ireland and Scotland,"Castle Avenue, Dublin",Dublin,Zimbabwe,Ireland,Zimbabwe,bat,152,153,Ireland,,7.0,,KJ O'Brien
1000,1272093,2021-09-01,New Zealand tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,Bangladesh,New Zealand,bat,60,62,Bangladesh,,7.0,,Shakib Al Hasan
1001,1272375,2021-09-01,Zimbabwe tour of Ireland and Scotland,"Bready Cricket Club, Magheramason, Bready",Bready,Ireland,Zimbabwe,Zimbabwe,field,178,138,Ireland,40.0,,,PR Stirling
1002,1272376,2021-09-02,Zimbabwe tour of Ireland and Scotland,"Bready Cricket Club, Magheramason, Bready",Bready,Ireland,Zimbabwe,Zimbabwe,field,174,110,Ireland,64.0,,,MR Adair
1003,1275269,2021-09-02,Continental Cup,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Luxembourg,Bulgaria,Bulgaria,field,187,125,Luxembourg,62.0,,,TC Barker
1004,1275270,2021-09-02,Continental Cup,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Hungary,Czech Republic,Czech Republic,field,165,160,Hungary,5.0,,,Zeeshan Kukikhel
1005,1272094,2021-09-03,New Zealand tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,New Zealand,Bangladesh,bat,141,137,Bangladesh,4.0,,,Mahmudullah
1006,1275268,2021-09-03,Continental Cup,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,Czech Republic,Romania,bat,211,176,Romania,35.0,,,Sami Ullah
1007,1275271,2021-09-03,Continental Cup,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Bulgaria,Malta,Bulgaria,bat,112,113,Malta,,7.0,,Bilal Muhammad
1008,1275272,2021-09-03,Continental Cup,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,Hungary,Romania,bat,195,187,Romania,8.0,,,Asif Bevinje
1009,1272377,2021-09-04,Zimbabwe tour of Ireland and Scotland,"Bready Cricket Club, Magheramason, Bready",Bready,Zimbabwe,Ireland,Zimbabwe,bat,124,119,Zimbabwe,5.0,,,CR Ervine
1010,1275274,2021-09-04,Continental Cup,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Luxembourg,Hungary,Hungary,field,179,177,Luxembourg,2.0,,,
1011,1275275,2021-09-04,Continental Cup,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,Malta,Malta,field,202,166,Romania,36.0,,,Taranjeet Singh
1012,1272095,2021-09-05,New Zealand tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,Bangladesh,New Zealand,bat,128,76,New Zealand,52.0,,,AY Patel
1013,1275276,2021-09-05,Continental Cup,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Malta,Hungary,Hungary,field,170,171,Hungary,,8.0,,Zeeshan Kukikhel
1014,1275277,2021-09-05,Continental Cup,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,Luxembourg,Romania,bat,156,123,Romania,33.0,,,Asif Bevinje
1015,1272096,2021-09-08,New Zealand tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,Bangladesh,New Zealand,bat,93,96,Bangladesh,,6.0,,Nasum Ahmed
1016,1271630,2021-09-10,South Africa tour of Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,South Africa,Sri Lanka,South Africa,bat,163,135,South Africa,28.0,,,AK Markram
1017,1272097,2021-09-10,New Zealand tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,Bangladesh,New Zealand,bat,161,134,New Zealand,27.0,,,TWM Latham
1018,1275044,2021-09-10,Uganda T20 Tri-Series,Entebbe Cricket Oval,Entebbe,Kenya,Uganda,Kenya,bat,151,129,Kenya,22.0,,,
1019,1275052,2021-09-10,Germany tour of Spain,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,Germany,Germany,field,128,132,Germany,,7.0,,
1020,1275039,2021-09-11,Uganda T20 Tri-Series,Entebbe Cricket Oval,Entebbe,Nigeria,Kenya,Nigeria,bat,107,108,Kenya,,8.0,,
1021,1275040,2021-09-11,Uganda T20 Tri-Series,Entebbe Cricket Oval,Entebbe,Uganda,Nigeria,Uganda,bat,152,96,Uganda,56.0,,,
1022,1275053,2021-09-11,Germany tour of Spain,"Desert Springs Cricket Ground, Almeria",Almeria,Germany,Spain,Germany,bat,115,116,Spain,,5.0,,
1023,1275054,2021-09-11,Germany tour of Spain,"Desert Springs Cricket Ground, Almeria",Almeria,Germany,Spain,Spain,field,119,120,Spain,,1.0,,
1024,1271631,2021-09-12,South Africa tour of Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,South Africa,Sri Lanka,bat,103,105,South Africa,,9.0,,T Shamsi
1025,1275042,2021-09-13,Uganda T20 Tri-Series,Entebbe Cricket Oval,Entebbe,Kenya,Nigeria,Kenya,bat,162,101,Kenya,61.0,,,IA Karim
1026,1275043,2021-09-13,Uganda T20 Tri-Series,Entebbe Cricket Oval,Entebbe,Nigeria,Uganda,Nigeria,bat,123,124,Uganda,,8.0,,
1027,1271632,2021-09-14,South Africa tour of Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,South Africa,Sri Lanka,bat,120,121,South Africa,,10.0,,Q de Kock
1028,1273271,2021-09-15,Zimbabwe tour of Ireland and Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland,Zimbabwe,Scotland,bat,141,134,Scotland,7.0,,,
1029,1275047,2021-09-15,Uganda T20 Tri-Series,Entebbe Cricket Oval,Entebbe,Uganda,Nigeria,Uganda,bat,172,117,Uganda,55.0,,,JO Adedeji
1030,1275045,2021-09-16,Uganda T20 Tri-Series,Entebbe Cricket Oval,Entebbe,Nigeria,Kenya,Nigeria,bat,133,107,Nigeria,4.0,,D/L,JO Adedeji
1031,1273272,2021-09-17,Zimbabwe tour of Ireland and Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Zimbabwe,Scotland,Zimbabwe,bat,136,126,Zimbabwe,10.0,,,
1032,1275051,2021-09-17,Uganda T20 Tri-Series,Entebbe Cricket Oval,Entebbe,Uganda,Kenya,Uganda,bat,120,114,Uganda,6.0,,,F Akankwasa
1033,1273273,2021-09-19,Zimbabwe tour of Ireland and Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland,Zimbabwe,Scotland,bat,177,180,Zimbabwe,,6.0,,
1034,1279379,2021-10-05,Estonia tour of Cyprus,Happy Valley Ground,Episkopi,Estonia,Cyprus,Cyprus,field,102,105,Cyprus,,4.0,,Tejwinder Singh
1035,1279380,2021-10-05,Estonia tour of Cyprus,Happy Valley Ground,Episkopi,Estonia,Cyprus,Estonia,bat,130,131,Cyprus,,8.0,,Gurpratap Singh
1036,1279381,2021-10-06,Cyprus T20 Tri-Series,Happy Valley Ground,Episkopi,Cyprus,Isle of Man,Cyprus,bat,92,93,Isle of Man,,8.0,,
1037,1279382,2021-10-06,Cyprus T20 Tri-Series,Happy Valley Ground,Episkopi,Estonia,Isle of Man,Estonia,bat,118,122,Isle of Man,,6.0,,
1038,1279383,2021-10-07,Cyprus T20 Tri-Series,Happy Valley Ground,Episkopi,Cyprus,Isle of Man,Isle of Man,field,149,151,Isle of Man,,3.0,,Gurpratap Singh
1039,1280060,2021-10-07,Ireland tour of United Arab Emirates,"ICC Academy, Dubai",Dubai,United Arab Emirates,Ireland,United Arab Emirates,bat,123,124,Ireland,,7.0,,
1040,1279385,2021-10-08,Cyprus T20 Tri-Series,Happy Valley Ground,Episkopi,Cyprus,Estonia,Cyprus,bat,160,121,Cyprus,39.0,,,Zeeshan Sarwar
1041,1279386,2021-10-08,Cyprus T20 Tri-Series,Happy Valley Ground,Episkopi,Estonia,Isle of Man,Isle of Man,field,71,72,Isle of Man,,8.0,,J Butler
1042,1280061,2021-10-08,Ireland tour of United Arab Emirates,"ICC Academy, Dubai",Dubai,United Arab Emirates,Ireland,Ireland,field,163,109,United Arab Emirates,54.0,,,KP Meiyappan
1043,1280063,2021-10-08,Papua New Guinea v Scotland T20I Match,"ICC Academy, Dubai",Dubai,Papua New Guinea,Scotland,Papua New Guinea,bat,154,156,Scotland,,8.0,,HG Munsey
1044,1280058,2021-10-09,Namibia v Scotland T20I Match,"ICC Academy, Dubai",Dubai,Scotland,Namibia,Namibia,field,137,138,Namibia,,5.0,,CG Williams
1045,1280059,2021-10-10,Namibia v Papua New Guinea T20I Match,"ICC Academy, Dubai",Dubai,Namibia,Papua New Guinea,Papua New Guinea,field,174,160,Namibia,14.0,,,
1046,1280062,2021-10-10,Ireland tour of United Arab Emirates,"ICC Academy, Dubai",Dubai,Ireland,United Arab Emirates,United Arab Emirates,field,134,139,United Arab Emirates,,7.0,,Waseem Muhammad
1047,1282738,2021-10-15,ICC Men's T20 World Cup Europe Region Qualifier,"Desert Springs Cricket Ground, Almeria",Almeria,Jersey,Germany,Germany,field,137,133,Jersey,4.0,,,H Carlyon
1048,1282739,2021-10-15,ICC Men's T20 World Cup Europe Region Qualifier,"Desert Springs Cricket Ground, Almeria",Almeria,Denmark,Italy,Denmark,bat,100,101,Italy,,6.0,,GP Meade
1049,1282740,2021-10-16,ICC Men's T20 World Cup Europe Region Qualifier,"Desert Springs Cricket Ground, Almeria",Almeria,Denmark,Germany,Denmark,bat,110,112,Germany,,6.0,,Faisal Mubashir
1050,1282741,2021-10-16,ICC Men's T20 World Cup Europe Region Qualifier,"Desert Springs Cricket Ground, Almeria",Almeria,Jersey,Italy,Jersey,bat,139,98,Jersey,41.0,,,B Ward
1051,1283021,2021-10-16,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group A & B,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,Ghana,Ghana,field,153,157,Ghana,,5.0,,SK Awiah
1052,1283023,2021-10-16,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group A & B,Gahanga International Cricket Stadium. Rwanda,Kigali City,Seychelles,Ghana,Seychelles,bat,95,96,Ghana,,9.0,,KS Bagabena
1053,1283024,2021-10-16,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group A & B,Integrated Polytechnic Regional Centre,Kigali City,Malawi,Uganda,Malawi,bat,98,101,Uganda,,10.0,,S Sesazi
1054,1273712,2021-10-17,ICC Men's T20 World Cup,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Papua New Guinea,Oman,Oman,field,129,131,Oman,,10.0,,Zeeshan Maqsood
1055,1273713,2021-10-17,ICC Men's T20 World Cup,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Scotland,Bangladesh,Bangladesh,field,140,134,Scotland,6.0,,,CN Greaves
1056,1282742,2021-10-17,ICC Men's T20 World Cup Europe Region Qualifier,"Desert Springs Cricket Ground, Almeria",Almeria,Jersey,Denmark,Denmark,field,94,89,Jersey,5.0,,,CW Perchard
